style,files
#root,backend/api.py;backend/database.py;docs/development.md;frontend/index.html;frontend/src/main.tsx;frontend/src/styles/global.css
#text-bg,frontend/src/styles/global.css
.App,frontend/src/App.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/main.tsx;frontend/src/styles/global.css
.accordion-content,frontend/src/components/common/AccordionSection.tsx;frontend/src/styles/global.css
.accordion-header,frontend/src/components/common/AccordionSection.tsx;frontend/src/styles/global.css
.accordion-section,frontend/src/components/common/AccordionSection.tsx;frontend/src/styles/global.css
.actions,backend/grammartypes/holochron_ontology.json;backend/grammartypes/narragrammar.json;backend/holochron_ontology.json;backend/narragrammar.json;docs/node_edit_for_users.md;frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/common/ConfirmDialog.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.ai-instructions,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.ai-suggestion-preview,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.arrow-indicator,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.arrow-marker,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.basic-stats,frontend/src/App.tsx;frontend/src/styles/global.css
.box,backend/statistical_analyzer.py;docs/node_edit_for_users.md;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.box-plot,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.branch-name,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.btn,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/DatabaseControls/DatabaseControls.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Header/Header.tsx;frontend/src/components/common/ConfirmDialog.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.btn-danger,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/DatabaseControls/DatabaseControls.tsx;frontend/src/components/common/ConfirmDialog.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.btn-full,frontend/src/styles/global.css
.btn-primary,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
